iter	Passed	Remaining
0	131	131309
1	134	66976
2	136	45386
3	138	34454
4	141	28105
5	143	23817
6	146	20734
7	148	18456
8	152	16788
9	154	15340
10	157	14132
11	159	13127
12	162	12349
13	167	11770
14	168	11086
15	170	10474
16	171	9919
17	172	9434
18	174	8989
19	175	8622
20	178	8308
21	180	8018
22	183	7791
23	185	7551
24	187	7317
25	190	7133
26	193	6965
27	196	6811
28	198	6637
29	199	6458
30	201	6287
31	203	6162
32	205	6030
33	207	5893
34	210	5805
35	212	5685
36	213	5567
37	215	5454
38	217	5358
39	219	5268
40	221	5182
41	223	5095
42	224	5002
43	226	4912
44	227	4827
45	229	4753
46	231	4699
47	233	4626
48	234	4557
49	236	4488
50	238	4438
51	239	4369
52	240	4302
53	242	4255
54	244	4203
55	246	4148
56	247	4098
57	249	4053
58	251	4003
59	252	3949
60	253	3896
61	254	3848
62	255	3803
63	257	3763
64	259	3732
65	261	3697
66	262	3658
67	263	3609
68	264	3568
69	265	3526
70	266	3487
71	267	3449
72	268	3411
73	269	3377
74	271	3349
75	273	3330
76	275	3300
77	276	3270
78	277	3238
79	278	3206
80	280	3177
81	281	3146
82	282	3116
83	283	3087
84	284	3057
85	285	3036
86	287	3012
87	288	2989
88	289	2967
89	291	2945
90	292	2922
91	293	2898
92	294	2874
93	295	2851
94	296	2827
95	298	2807
96	299	2791
97	301	2774
98	302	2755
99	303	2735
100	305	2715
101	305	2690
102	306	2670
103	307	2651
104	308	2633
105	310	2614
106	311	2596
107	312	2578
108	313	2565
109	315	2552
110	316	2536
111	317	2520
112	318	2503
113	319	2486
114	320	2469
115	321	2452
116	322	2436
117	323	2421
118	324	2404
119	325	2389
120	327	2376
121	328	2365
122	329	2350
123	330	2336
124	331	2323
125	333	2310
126	334	2296
127	334	2280
128	335	2267
129	337	2255
130	338	2242
131	339	2229
132	340	2217
133	341	2206
134	343	2197
135	344	2187
136	345	2177
137	346	2164
138	347	2153
139	348	2141
140	349	2129
141	350	2119
142	352	2109
143	353	2099
144	354	2090
145	356	2083
146	357	2077
147	360	2072
148	362	2068
149	363	2061
150	365	2054
151	367	2047
152	368	2040
153	372	2047
154	374	2041
155	376	2036
156	377	2027
157	378	2018
158	379	2009
159	381	2000
160	382	1991
161	383	1981
162	384	1973
163	385	1967
164	387	1961
165	388	1954
166	390	1948
167	391	1939
168	392	1931
169	393	1923
170	395	1915
171	396	1908
172	397	1902
173	401	1904
174	403	1903
175	405	1897
176	406	1890
177	407	1883
178	409	1876
179	410	1869
180	411	1860
181	412	1854
182	415	1853
183	417	1850
184	418	1844
185	420	1838
186	421	1831
187	423	1827
188	426	1829
189	427	1824
190	429	1818
191	430	1813
192	432	1806
193	433	1799
194	434	1792
195	435	1785
196	436	1778
197	437	1771
198	438	1764
199	439	1757
200	440	1750
201	441	1745
202	443	1741
203	445	1736
204	446	1730
205	447	1723
206	448	1717
207	449	1711
208	450	1704
209	451	1698
210	452	1692
211	453	1685
212	454	1679
213	455	1674
214	457	1670
215	459	1666
216	460	1661
217	461	1655
218	462	1649
219	463	1643
220	464	1637
221	466	1633
222	467	1629
223	468	1623
224	469	1618
225	471	1614
226	472	1609
227	473	1604
228	475	1599
229	476	1593
230	477	1588
231	478	1583
232	479	1578
233	480	1572
234	481	1567
235	482	1561
236	483	1556
237	484	1552
238	486	1549
239	487	1545
240	489	1540
241	490	1535
242	491	1530
243	492	1527
244	494	1523
245	495	1519
246	496	1514
247	497	1509
248	499	1506
249	500	1502
250	502	1498
251	503	1493
252	504	1488
253	505	1484
254	506	1480
255	507	1475
256	508	1470
257	509	1465
258	510	1461
259	511	1456
260	513	1453
261	514	1450
262	516	1446
263	517	1441
264	518	1437
265	519	1434
266	520	1429
267	522	1425
268	523	1421
269	524	1416
270	525	1412
271	526	1408
272	527	1404
273	528	1400
